dcs_rnd2_198|Unul dintre motive îl reprezintă aglomerația din spitale|Unul dintre motive îl reprezintă aglomerația din spitale
dcs_rnd2_199|Acum este pensionară și trăiește în SUA, în apropiere de New York|Acum este pensionară și trăiește în SUA, în apropiere de New York
dcs_rnd2_200|Televiziunea publică mai curând oficială decât publică, susținea interesele puterii|Televiziunea publică mai curând oficială decât publică, susținea interesele puterii
dcs_rnd2_201|Necazurile îi fac pe oameni să solicite inclusiv ajutoare nerambursabile|Necazurile îi fac pe oameni să solicite inclusiv ajutoare nerambursabile
dcs_rnd2_202|Se întâmplă cam o dată pe lună, minim|Se întâmplă cam o dată pe lună, minim
dcs_rnd2_203|Trebuie să știi clar, încotro mergi|Trebuie să știi clar, încotro mergi
dcs_rnd2_204|Mi-a fost frică, e adevărat, înainte, mai ales de dureri|Mi-a fost frică, e adevărat, înainte, mai ales de dureri
dcs_rnd2_205|Au fost cumpărate cu piscină|Au fost cumpărate cu piscină
dcs_rnd2_206|Turul este programat pentru data de unu octombrie, la București|Turul este programat pentru data de unu octombrie, la București
dcs_rnd2_207|Baie comună pe fiecare palier|Baie comună pe fiecare palier
dcs_rnd2_208|Producția franceză a mai fost prezentată și în alte festivaluri din lume|Producția franceză a mai fost prezentată și în alte festivaluri din lume
dcs_rnd2_209|Rezistați să consumați numai fructe, legume și miere|Rezistați să consumați numai fructe, legume și miere
dcs_rnd2_210|Apoi, ușor ușor, câinii au găsit drumul reabilitării|Apoi, ușor ușor, câinii au găsit drumul reabilitării
dcs_rnd2_211|Am intrat în u e înaintea României|Am intrat în u e înaintea României
dcs_rnd2_212|Biletele s-au pus în vânzare la casa de bilete a teatrului|Biletele s-au pus în vânzare la casa de bilete a teatrului
dcs_rnd2_213|Cel puțin asta spun agenții economici, care au fost prezenți la manifestare|Cel puțin asta spun agenții economici, care au fost prezenți la manifestare
dcs_rnd2_214|Am simțit că pot să apăr acel penalty|Am simțit că pot să apăr acel penalty
dcs_rnd2_215|Sătenii spun că așa incendiu nu au mai văzut până acum|Sătenii spun că așa incendiu nu au mai văzut până acum
dcs_rnd2_216|Noi am făcut tot ceea ce am putut pentru copii|Noi am făcut tot ceea ce am putut pentru copii
dcs_rnd2_217|Tricolorii vor întâlni, sâmbătă, reprezentativa Ungariei|Tricolorii vor întâlni, sâmbătă, reprezentativa Ungariei
dcs_rnd2_218|Acum spune că îi mulțumește tatălui pentru decizia de atunci|Acum spune că îi mulțumește tatălui pentru decizia de atunci
dcs_rnd2_219|Odată ce am renunțat|Odată ce am renunțat
dcs_rnd2_220|Cert e că în noiembrie voi ceda clubul|Cert e că în noiembrie voi ceda clubul
dcs_rnd2_221|Când a venit ocazia, n-am mai putut|Când a venit ocazia, n-am mai putut
dcs_rnd2_222|Anul acesta de exemplu a fost un an foarte bun|Anul acesta de exemplu a fost un an foarte bun
dcs_rnd2_223|Când am plecat de la Cotroceni, am avut argumentele mele|Când am plecat de la Cotroceni, am avut argumentele mele
dcs_rnd2_224|În decisiv totul a fost de partea lui Del Potro|În decisiv totul a fost de partea lui Del Potro
dcs_rnd2_225|Printre ei chiar campioana Estera Dobre|Printre ei chiar campioana Estera Dobre
dcs_rnd2_226|Un bărbat și două femei din comuna Moara nu s-au lăsat păcăliți|Un bărbat și două femei din comuna Moara nu s-au lăsat păcăliți
dcs_rnd2_227|În plus, acțiunea preventivă urmează să se desfășoare și în zilele următoare|În plus, acțiunea preventivă urmează să se desfășoare și în zilele următoare
dcs_rnd2_228|Mă simt mai puternic, am mai multă energie|Mă simt mai puternic, am mai multă energie
dcs_rnd2_229|Pe omul regiei îl pune acolo șeful său|Pe omul regiei îl pune acolo șeful său
dcs_rnd2_230|Procurorul spune că Pleșiță inspira teamă în timpul audierilor din dosar|Procurorul spune că Pleșiță inspira teamă în timpul audierilor din dosar
dcs_rnd2_231|Dacă cineva trebuie înlăturat, se folosesc toate instrumentele represive posibile|Dacă cineva trebuie înlăturat, se folosesc toate instrumentele represive posibile
dcs_rnd2_232|O să vedem dacă dau afară pe cineva sau nu|O să vedem dacă dau afară pe cineva sau nu
dcs_rnd2_233|Pe de le și pe se de se vor lupta multă vreme de aici înainte|Pe de le și pe se de se vor lupta multă vreme de aici înainte
dcs_rnd2_234|Vă aduceți aminte cazul Popoviciu|Vă aduceți aminte cazul Popoviciu
dcs_rnd2_235|Nu știm dacă vom putea conta pe prezența unor personalități anunțate|Nu știm dacă vom putea conta pe prezența unor personalități anunțate
dcs_rnd2_236|Toți fotbaliștii vor să plece|Toți fotbaliștii vor să plece
dcs_rnd2_237|Voi planifica pentru la anul viitor o vacanță de sărbători în Grecia|Voi planifica pentru la anul viitor o vacanță de sărbători în Grecia
dcs_rnd2_238|În plus condițiile de muncă sunt precare|În plus condițiile de muncă sunt precare
dcs_rnd2_239|A reușit să-și aranjeze camera lui|A reușit să-și aranjeze camera lui
dcs_rnd2_240|Lucrurile acestea sunt noi în Reșița|Lucrurile acestea sunt noi în Reșița
dcs_rnd2_241|Avea piciorușul rupt, își aduce aminte tânăra|Avea piciorușul rupt, își aduce aminte tânăra
dcs_rnd2_242|Nu sunt deloc mulțumit|Nu sunt deloc mulțumit
dcs_rnd2_243|Mie mi s-a reproșat adesea că distrug prestigiul universității, atacând găștile universitare|Mie mi s-a reproșat adesea că distrug prestigiul universității, atacând găștile universitare
dcs_rnd2_244|În trei ore ajung din Constanța la Monteoru, spune un turist constănțean|În trei ore ajung din Constanța la Monteoru, spune un turist constănțean
dcs_rnd2_245|Tinerii reșițeni preferă muzica de club și agitația petrecerilor house|Tinerii reșițeni preferă muzica de club și agitația petrecerilor house
dcs_rnd2_246|A jucat teatru, s-a prefăcut că i-a venit rău|A jucat teatru, s-a prefăcut că i-a venit rău
dcs_rnd2_247|Am putea pierde zece procente anul acesta|Am putea pierde zece procente anul acesta
dcs_rnd2_248|Vom fi pe pierdere, spune managerul general al portalului|Vom fi pe pierdere, spune managerul general al portalului
dcs_rnd2_249|Am întâlnit întrebări care nu au ce căuta la această categorie|Am întâlnit întrebări care nu au ce căuta la această categorie
dcs_rnd2_250|Uriașe evenimente, ample transformări, crize atinse de metastază ne sucesc mințile|Uriașe evenimente, ample transformări, crize atinse de metastază ne sucesc mințile
dcs_rnd2_251|Deocamdată nu se cunosc cauzele|Deocamdată nu se cunosc cauzele
dcs_rnd2_252|Există însă la Oravița o firmă care se ocupă cu așa ceva|Există însă la Oravița o firmă care se ocupă cu așa ceva
dcs_rnd2_253|Dar și asta pare acum prea puțin, povestește Ema|Dar și asta pare acum prea puțin, povestește Ema
dcs_rnd2_254|Cinci din Râmnicu Vâlcea vor pleca vineri, optsprezece septembrie la Milano|Cinci din Râmnicu Vâlcea vor pleca vineri, optsprezece septembrie la Milano
dcs_rnd2_255|Nu-mi place când văd necredința în Dumnezeu|Nu-mi place când văd necredința în Dumnezeu
dcs_rnd2_256|A mers acolo vineri ne-a spus directorul grădinii, Vasile Cristea|A mers acolo vineri ne-a spus directorul grădinii, Vasile Cristea
dcs_rnd2_257|Este o perioadă grea pentru toată lumea|Este o perioadă grea pentru toată lumea
dcs_rnd2_258|Sunt scene violente, nu se mai poate continua cu jumătăți de măsură|Sunt scene violente, nu se mai poate continua cu jumătăți de măsură
dcs_rnd2_259|O altă explicație este legată de raportările pe care le fac firmele|O altă explicație este legată de raportările pe care le fac firmele
dcs_rnd2_260|Pe locul al doilea se situează arădenii|Pe locul al doilea se situează arădenii
dcs_rnd2_261|Avocatul surorilor Andreescu nu a putut fi contactat|Avocatul surorilor Andreescu nu a putut fi contactat
dcs_rnd2_262|Este o victorie importantă pentru noi|Este o victorie importantă pentru noi
dcs_rnd2_263|Nu toți angajatorii gălățeni anunță la a je o fe me că vor să concedieze colectiv|Nu toți angajatorii gălățeni anunță la a je o fe me că vor să concedieze colectiv
dcs_rnd2_264|Să-mi arate ceva foarte interesant|Să-mi arate ceva foarte interesant
dcs_rnd2_265|Au o apărare foarte bună, în care se remarcă căpitanul Tarknișvili|Au o apărare foarte bună, în care se remarcă căpitanul Tarknișvili
dcs_rnd2_266|Ambele meciuri se vor disputa pe stadionul din Urziceni|Ambele meciuri se vor disputa pe stadionul din Urziceni
dcs_rnd2_267|Cu ce mașină intrați pe pistă acum|Cu ce mașină intrați pe pistă acum
dcs_rnd2_268|Voi mai construi încă două odăi cu fân, dar atât|Voi mai construi încă două odăi cu fân, dar atât
dcs_rnd2_269|Nu toți însă se pot ridica la un anumit nivel|Nu toți însă se pot ridica la un anumit nivel
dcs_rnd2_270|Noi cu aceste echipe ne batem, nu cu granzii|Noi cu aceste echipe ne batem, nu cu granzii
dcs_rnd2_271|Au promis că vor activa comisia constituțională în Parlament|Au promis că vor activa comisia constituțională în Parlament
dcs_rnd2_272|Am avut o discuție cu el și urmează să se decidă|Am avut o discuție cu el și urmează să se decidă
dcs_rnd2_273|Îmi plac foarte mult literatura, istoria și muzica|Îmi plac foarte mult literatura, istoria și muzica
dcs_rnd2_274|Abundența încălțămintelor de calitate aproape că i-a pus în umbră pe meserIași|Abundența încălțămintelor de calitate aproape că i-a pus în umbră pe meserIași
dcs_rnd2_275|Ca format, predomina talk show-ul politic|Ca format, predomina talk show-ul politic
dcs_rnd2_276|Nu s-a schimbat nimic în ultima vreme|Nu s-a schimbat nimic în ultima vreme
dcs_rnd2_277|Acolo au doi antrenori de excepție|Acolo au doi antrenori de excepție
dcs_rnd2_278|Infrastructura e la pământ|Infrastructura e la pământ
dcs_rnd2_279|Când domnii își petrec timpul împreună, efectul nu este tocmai benefic|Când domnii își petrec timpul împreună, efectul nu este tocmai benefic
dcs_rnd2_280|Și un succes la diferență de un gol ne-ar mulțumi|Și un succes la diferență de un gol ne-ar mulțumi
dcs_rnd2_281|Una dintre acestea este Viorica Stoianov|Una dintre acestea este Viorica Stoianov
dcs_rnd2_282|Softul mașinii blochează roțile a explicat un vecin|Softul mașinii blochează roțile a explicat un vecin
dcs_rnd2_283|Acesta va mai reprezenta u e în deplasările în străinătate|Acesta va mai reprezenta u e în deplasările în străinătate
dcs_rnd2_284|De dragul copilului o să mă apuc de muncă cinstită spune Tudor|De dragul copilului o să mă apuc de muncă cinstită spune Tudor
dcs_rnd2_285|Suntem înainte de toate profund îngrijorați|Suntem înainte de toate profund îngrijorați
dcs_rnd2_286|În ce privește reabilitarea monumentului, există două teorii|În ce privește reabilitarea monumentului, există două teorii
dcs_rnd2_287|Ambiția a ajutat o să devină cunoscută, deși este încă foarte tânără|Ambiția a ajutat o să devină cunoscută, deși este încă foarte tânără
dcs_rnd2_288|Discursuri izolate nu ne vor rezolva problemele|Discursuri izolate nu ne vor rezolva problemele
dcs_rnd2_289|Vânzătoare la un amanet din zona Nord a municipiului Râmnicu Vâlcea|Vânzătoare la un amanet din zona Nord a municipiului Râmnicu Vâlcea
dcs_rnd2_290|Dacă reapar show-urile de profil, înseamnă că publicul le cere|Dacă reapar show-urile de profil, înseamnă că publicul le cere
dcs_rnd2_291|Cred că eu și Oana Manea ne completăm foarte bine|Cred că eu și Oana Manea ne completăm foarte bine
dcs_rnd2_292|Chiar dacă și-au adjudecat alegerile, ei au pierdut majoritatea absolută în Parlament|Chiar dacă și-au adjudecat alegerile, ei au pierdut majoritatea absolută în Parlament
dcs_rnd2_293|Mâna pictorului face o magie și transformă culoarea|Mâna pictorului face o magie și transformă culoarea
dcs_rnd2_294|Autoritățile locale așteaptă precizări de la nivel central|Autoritățile locale așteaptă precizări de la nivel central
dcs_rnd2_295|Căminul a fost izolat termic și renovat|Căminul a fost izolat termic și renovat
dcs_rnd2_296|Aveau bun simț, iar golănia nu era un exemplu la acel moment|Aveau bun simț, iar golănia nu era un exemplu la acel moment
dcs_rnd2_297|Pumori este situat la granița dintre Nepal și Tibet|Pumori este situat la granița dintre Nepal și Tibet
dcs_rnd2_298|În ceea ce mă privește, lucrurile sunt în regulă|În ceea ce mă privește, lucrurile sunt în regulă
dcs_rnd2_299|Nu orice rețetă pentru preparatele culinare, ci rețetele pentru prăjituri|Nu orice rețetă pentru preparatele culinare, ci rețetele pentru prăjituri
dcs_rnd2_300|Acesta se referă însă doar la proprietățile din capitală|Acesta se referă însă doar la proprietățile din capitală
dcs_rnd2_301|Avem trei obiective clare|Avem trei obiective clare
dcs_rnd2_302|Este și Guvernul, prin Ministerul Finanțelor|Este și Guvernul, prin Ministerul Finanțelor
dcs_rnd2_303|Seara se va încheia cu un foc de artificii|Seara se va încheia cu un foc de artificii
dcs_rnd2_304|Antrenorul lui Dinamo și-a făcut temele înaintea meciului de astăzi, cu Panathinaikos|Antrenorul lui Dinamo și-a făcut temele înaintea meciului de astăzi, cu Panathinaikos
dcs_rnd2_305|E vorba de modul în care ne trăim viața|E vorba de modul în care ne trăim viața
dcs_rnd2_306|Acolo m-am format și sunt mândră de asta spune ea|Acolo m-am format și sunt mândră de asta spune ea
dcs_rnd2_307|Întreprinzătorul vrea să realizeze acolo un hotel și spații de divertisment|Întreprinzătorul vrea să realizeze acolo un hotel și spații de divertisment
dcs_rnd2_308|Străbunicul, bunicul și tatăl meu au fost acrobați|Străbunicul, bunicul și tatăl meu au fost acrobați
dcs_rnd2_309|Reprezentantul Aquabis, Radu Căilean, are o posibilă explicație pentru situația femeii|Reprezentantul Aquabis, Radu Căilean, are o posibilă explicație pentru situația femeii
dcs_rnd2_310|În consecință, conform CEDO, decretul de revocare a grațierii individuale|În consecință, conform CEDO, decretul de revocare a grațierii individuale
dcs_rnd2_311|Citește despre revolta organizațiilor catolice din Spania pe Adevărul|Citește despre revolta organizațiilor catolice din Spania pe Adevărul
dcs_rnd2_312|În primul rând, ceea ce face televiziunea, prezentările|În primul rând, ceea ce face televiziunea, prezentările
dcs_rnd2_313|Șotronul, lapte gros, coarda și chiar fotbal|Șotronul, lapte gros, coarda și chiar fotbal
dcs_rnd2_314|A fost un actor foarte talentat|A fost un actor foarte talentat
dcs_rnd2_315|Nu pentru îndrumătoarea de an, ci pentru prietena lui|Nu pentru îndrumătoarea de an, ci pentru prietena lui
dcs_rnd2_316|Tatăl acestuia, Vasile Rodideal este un cunoscut membru al lumii interlope|Tatăl acestuia, Vasile Rodideal este un cunoscut membru al lumii interlope
dcs_rnd2_317|Au fost aplicate și zece sechestre pe mijloace de transport și electrocasnice|Au fost aplicate și zece sechestre pe mijloace de transport și electrocasnice
dcs_rnd2_318|În principiu, cele două grupări s-au înțeles pentru Cristea|În principiu, cele două grupări s-au înțeles pentru Cristea
dcs_rnd2_319|De atunci mă uit de trei ori înainte să trec strada|De atunci mă uit de trei ori înainte să trec strada
dcs_rnd2_320|Sunt foarte înalți și trebuie să avem mare grijă la fazele fixe|Sunt foarte înalți și trebuie să avem mare grijă la fazele fixe
dcs_rnd2_321|Atunci placa electronică se strică, explică meșterul|Atunci placa electronică se strică, explică meșterul
dcs_rnd2_322|Mâine suspecții vor fi prezentați tribunalului Maramureș cu propunere de arestare preventivă|Mâine suspecții vor fi prezentați tribunalului Maramureș cu propunere de arestare preventivă
dcs_rnd2_323|Știu că nu mai am nicio șansă să mă întorc la școală|Știu că nu mai am nicio șansă să mă întorc la școală
dcs_rnd2_324|Profesoarele au cerut editura Humanitas|Profesoarele au cerut editura Humanitas
dcs_rnd2_325|Am prins de curând în cămin studenți care locuiau clandestin|Am prins de curând în cămin studenți care locuiau clandestin
dcs_rnd2_326|Au căpătat chiar un tic nervos ridică din umeri la minut|Au căpătat chiar un tic nervos ridică din umeri la minut
dcs_rnd2_327|Debitorii cer măsuri de protecție față de abuzuri ale băncilor|Debitorii cer măsuri de protecție față de abuzuri ale băncilor
dcs_rnd2_328|Bărbatul s-a simțit inferior la vederea animalului|Bărbatul s-a simțit inferior la vederea animalului
dcs_rnd2_329|Niciodată nu-mi plăcea să pierd|Niciodată nu-mi plăcea să pierd
dcs_rnd2_330|Replica arabilor, a venit miercuri, prin vocea președintelui clubului, Khalifah Suleiman|Replica arabilor, a venit miercuri, prin vocea președintelui clubului, Khalifah Suleiman
dcs_rnd2_331|Este vorba despre bun simț și bunăvoință a declarat Grigorov|Este vorba despre bun simț și bunăvoință a declarat Grigorov
dcs_rnd2_332|Nu poate spune însă că și le mai dorește ca înainte|Nu poate spune însă că și le mai dorește ca înainte
dcs_rnd2_333|De asemenea, vom lucra și la regulamentul de ordine|De asemenea, vom lucra și la regulamentul de ordine
dcs_rnd2_334|Am peste patruzeci de meciuri în cupele europene|Am peste patruzeci de meciuri în cupele europene
dcs_rnd2_335|Pentru Virgil Melente, a fost altfel|Pentru Virgil Melente, a fost altfel
dcs_rnd2_336|Resursele sunt limitate, iar cererea este mult mai mare|Resursele sunt limitate, iar cererea este mult mai mare
dcs_rnd2_337|Iată clasamentul în partea ei superioară|Iată clasamentul în partea ei superioară
dcs_rnd2_338|Nu eu mă ocup de distribuția camerelor, ci o comisie de cazare|Nu eu mă ocup de distribuția camerelor, ci o comisie de cazare
dcs_rnd2_339|Unii studenți sunt dispuși să cheltuiască atâția bani|Unii studenți sunt dispuși să cheltuiască atâția bani
dcs_rnd2_340|Harry Caine este pseudonimul cu care își lansează scrierile|Harry Caine este pseudonimul cu care își lansează scrierile
dcs_rnd2_341|Sunt restanțe la acordarea salariilor de merit, la acordarea tichetelor de masă|Sunt restanțe la acordarea salariilor de merit, la acordarea tichetelor de masă
dcs_rnd2_342|Acționarul majoritar al companiei este Ministerul Economiei|Acționarul majoritar al companiei este Ministerul Economiei
dcs_rnd2_343|De asemenea, mă deranjează lipsa de educație, violența limbajului și cea televizată|De asemenea, mă deranjează lipsa de educație, violența limbajului și cea televizată
dcs_rnd2_344|Animalele aparțin cetățenilor de etnie rromă care locuiesc în zonă|Animalele aparțin cetățenilor de etnie rromă care locuiesc în zonă
dcs_rnd2_345|Dacă era deranjat de reacția lui Bergodi, discutau după meci|Dacă era deranjat de reacția lui Bergodi, discutau după meci
dcs_rnd2_346|Sindicaliștii au anunțat aseară că vor bloca activitatea de la nouă octombrie|Sindicaliștii au anunțat aseară că vor bloca activitatea de la nouă octombrie
dcs_rnd2_347|Este mult mai multă mizerie decât ne-am așteptat|Este mult mai multă mizerie decât ne-am așteptat
dcs_rnd2_348|Curtea lăcașului sfânt a devenit neîncăpătoare|Curtea lăcașului sfânt a devenit neîncăpătoare
dcs_rnd2_349|Mihaela și Iulian făcuseră cununia civilă în urmă cu trei luni|Mihaela și Iulian făcuseră cununia civilă în urmă cu trei luni
dcs_rnd2_350|Becali a gustat din plin momentul|Becali a gustat din plin momentul
dcs_rnd2_351|În prezent nimeni nu deține suprafețe cultivate cu viță nobilă|În prezent nimeni nu deține suprafețe cultivate cu viță nobilă
dcs_rnd2_352|Primarii spun că nu mai au bani de salarii|Primarii spun că nu mai au bani de salarii
dcs_rnd2_353|Pe scena Casei de Cultură a Sindicatelor din Pitești|Pe scena Casei de Cultură a Sindicatelor din Pitești
dcs_rnd2_354|Ultima grevă de proporții, în sănătate, a fost în două mii|Ultima grevă de proporții, în sănătate, a fost în două mii
dcs_rnd2_355|În urma accidentului, ambele mașini au fost serios avariate|În urma accidentului, ambele mașini au fost serios avariate
dcs_rnd2_356|N-are nicio legătură unul cu altul|N-are nicio legătură unul cu altul
dcs_rnd2_357|În comună trăiesc mai mulți maghiari decât români|În comună trăiesc mai mulți maghiari decât români
dcs_rnd2_358|M-au felicitat toți colegii, de dimineață|M-au felicitat toți colegii, de dimineață
dcs_rnd2_359|Aceștia își vor pierde locul de muncă|Aceștia își vor pierde locul de muncă
dcs_rnd2_360|În consecință, prima înfățișare va avea loc în luna octombrie|În consecință, prima înfățișare va avea loc în luna octombrie
dcs_rnd2_361|Dinamo și fe ce Timișoara nu au nicio șansă|Dinamo și fe ce Timișoara nu au nicio șansă
dcs_rnd2_362|Investiția coreenilor este estimată la opt milioane de euro|Investiția coreenilor este estimată la opt milioane de euro
dcs_rnd2_363|Probabil vreo unu zero, unu doi|Probabil vreo unu zero, unu doi
dcs_rnd2_364|Pojarul și scarlatina oricărui colecționar se cheamă filatelie|Pojarul și scarlatina oricărui colecționar se cheamă filatelie
dcs_rnd2_365|Oficialii ce fe re Iași susțin că nu au fost victime|Oficialii ce fe re Iași susțin că nu au fost victime
dcs_rnd2_366|Și atunci, principalii pierzători sunt cei foarte buni|Și atunci, principalii pierzători sunt cei foarte buni
dcs_rnd2_367|Așa și-a descoperit înclinația spre frumos și decorațiuni|Așa și-a descoperit înclinația spre frumos și decorațiuni
dcs_rnd2_368|Pe sensul Ploiești Brașov, precum și pe străzile laterale|Pe sensul Ploiești Brașov, precum și pe străzile laterale
dcs_rnd2_369|Erau epuizați, stresați, nemâncați|Erau epuizați, stresați, nemâncați
dcs_rnd2_370|Patronatele din construcții sunt însă sceptice în legătură cu aceste date|Patronatele din construcții sunt însă sceptice în legătură cu aceste date
dcs_rnd2_371|Acum va trebui să mă întorc acasă|Acum va trebui să mă întorc acasă
dcs_rnd2_372|În locul său a fost numit Roberto Michelletti, un politician conservator|În locul său a fost numit Roberto Michelletti, un politician conservator
dcs_rnd2_373|Pe deasupra, el se confruntă și cu răutățile și respingerea celorlalți copii|Pe deasupra, el se confruntă și cu răutățile și respingerea celorlalți copii
dcs_rnd2_374|Toate lucrările reprezintă peisaje din natură|Toate lucrările reprezintă peisaje din natură
dcs_rnd2_375|Pe ansamblu, sunt prea multe incertitudini|Pe ansamblu, sunt prea multe incertitudini
dcs_rnd2_376|Închis în două mii nouă cu neînceperea urmăririi penale|Închis în două mii nouă cu neînceperea urmăririi penale
dcs_rnd2_377|Când timpul îi permite lucrează goblenuri|Când timpul îi permite lucrează goblenuri
dcs_rnd2_378|Decanul a declarat că nu cunoaște cazul Ioanei Vișan|Decanul a declarat că nu cunoaște cazul Ioanei Vișan
dcs_rnd2_379|Practic, ea întâmpina clienții și îi organiza pe terasă|Practic, ea întâmpina clienții și îi organiza pe terasă
dcs_rnd2_380|Îmi place foarte mult sportul auto și sportul în general|Îmi place foarte mult sportul auto și sportul în general
dcs_rnd2_381|Pictura este pe primul plan|Pictura este pe primul plan
dcs_rnd2_382|Ce drum ai dori să urmezi în viață|Ce drum ai dori să urmezi în viață
dcs_rnd2_383|Am avut un club|Am avut un club
dcs_rnd2_384|Azi dau doar un examen de maturitate|Azi dau doar un examen de maturitate
dcs_rnd2_385|Forfotă mare în fața bisericii Domnița Bălașa, din București|Forfotă mare în fața bisericii Domnița Bălașa, din București
dcs_rnd2_386|Antrenorii italieni știu să scoată maximul din jucători|Antrenorii italieni știu să scoată maximul din jucători
dcs_rnd2_387|Și de aici începi să-ți pui niște probleme|Și de aici începi să-ți pui niște probleme
dcs_rnd2_388|Potrivit directorului medical al spitalului de pediatrie Galați|Potrivit directorului medical al spitalului de pediatrie Galați
dcs_rnd2_389|Ocupația nu îi ajută însă să scadă cheltuielile cu mâncarea|Ocupația nu îi ajută însă să scadă cheltuielile cu mâncarea
dcs_rnd2_390|E de ultimă speță|E de ultimă speță
dcs_rnd2_391|Situația este un pic diferită în ceea ce-i privește pe letoni|Situația este un pic diferită în ceea ce-i privește pe letoni
dcs_rnd2_392|Alți patru au fost eliberați|Alți patru au fost eliberați
dcs_rnd2_393|Panait Sârbu din București|Panait Sârbu din București
dcs_rnd2_394|Anchetatorii au încheiat audierea acestora la ora unu nouă punct unu cinci|Anchetatorii au încheiat audierea acestora la ora unu nouă punct unu cinci
dcs_rnd2_395|De mâine, unu octombrie, localul se închide|De mâine, unu octombrie, localul se închide
dcs_rnd2_396|A început prin a studia canto|A început prin a studia canto
dcs_rnd2_397|Tot vorbește de securități, de școli|Tot vorbește de securități, de școli
dcs_rnd2_398|Nu, e același, doar că nu se mai vede atât de pregnant|Nu, e același, doar că nu se mai vede atât de pregnant
dcs_rnd2_399|Am văzut doar niște fraze generale, fără niciun indicator a spus Dodon|Am văzut doar niște fraze generale, fără niciun indicator a spus Dodon
dcs_rnd2_400|O artă fără un profund sentiment escatologic e un nonsens|O artă fără un profund sentiment escatologic e un nonsens
dcs_rnd2_401|Am trecut cu bine peste pasul acesta, mulțumim lui Dumnezeu|Am trecut cu bine peste pasul acesta, mulțumim lui Dumnezeu
dcs_rnd2_402|Corupția din spitale e ca cea națională|Corupția din spitale e ca cea națională
dcs_rnd2_403|Da, pe lângă muzică, te ocupi și de radio|Da, pe lângă muzică, te ocupi și de radio
dcs_rnd2_404|În cel mai scurt timp Bianca vrea să studieze și limba italiană|În cel mai scurt timp Bianca vrea să studieze și limba italiană
dcs_rnd2_405|Cineva care să facă și meseria de pirotehnist, spune Cătălin Nedelcu|Cineva care să facă și meseria de pirotehnist, spune Cătălin Nedelcu
dcs_rnd2_406|Înmormântarea artistului va avea loc sâmbătă, la Eforie Sud, localitatea sa natală|Înmormântarea artistului va avea loc sâmbătă, la Eforie Sud, localitatea sa natală
dcs_rnd2_407|Acum trei ani am cumpărat un teren pe valea Țerovei|Acum trei ani am cumpărat un teren pe valea Țerovei
dcs_rnd2_408|Guvernul britanic a comandat șaizeci de milioane de doze|Guvernul britanic a comandat șaizeci de milioane de doze
dcs_rnd2_409|Și asta din cauză că în ambele sisteme lucrează aceIași oameni|Și asta din cauză că în ambele sisteme lucrează aceIași oameni
dcs_rnd2_410|A trebuit să învăț să comunic și să mă adaptez noilor situații|A trebuit să învăț să comunic și să mă adaptez noilor situații
dcs_rnd2_411|Regia este semnată de maestrul Cezar Ghioca|Regia este semnată de maestrul Cezar Ghioca
dcs_rnd2_412|Lașitatea și lipsa de civilizație|Lașitatea și lipsa de civilizație
dcs_rnd2_413|Desemnarea orașului gazdă, va avea loc pe doi octombrie, la Copenhaga|Desemnarea orașului gazdă, va avea loc pe doi octombrie, la Copenhaga
dcs_rnd2_414|Am plecat în altă parte|Am plecat în altă parte
dcs_rnd2_415|Jucătorii n-au înțeles indicațiile tactice date de Bergodi|Jucătorii n-au înțeles indicațiile tactice date de Bergodi
dcs_rnd2_416|Ea poate fi atacată cu apel la curtea federală de apel|Ea poate fi atacată cu apel la curtea federală de apel
dcs_rnd2_417|Oamenii au declarat, că au văzut moartea cu ochii|Oamenii au declarat, că au văzut moartea cu ochii
dcs_rnd2_418|Citiți întreg articolul cum leii falși s-au înmulțit în criză|Citiți întreg articolul cum leii falși s-au înmulțit în criză
dcs_rnd2_419|Am stat înăuntru destul de mult|Am stat înăuntru destul de mult
dcs_rnd2_420|Mă deranjează foarte mult amânarea|Mă deranjează foarte mult amânarea
dcs_rnd2_421|Toată lumea credea că Bergodi face în continuare performanță|Toată lumea credea că Bergodi face în continuare performanță
dcs_rnd2_422|Arma a fost confiscată|Arma a fost confiscată
dcs_rnd2_423|Au venit apoi la Brăila|Au venit apoi la Brăila
dcs_rnd2_424|Nu s-a schimbat nimic, ne luptăm pentru primele șase locuri|Nu s-a schimbat nimic, ne luptăm pentru primele șase locuri
dcs_rnd2_425|Muniția era de proveniență germană|Muniția era de proveniență germană
dcs_rnd2_426|Cum vom plăti cheltuielile curente, facturile pentru curent, apă, nu știu|Cum vom plăti cheltuielile curente, facturile pentru curent, apă, nu știu
dcs_rnd2_427|Nu în fața prefecturii|Nu în fața prefecturii
dcs_rnd2_428|Datoria noastră este să aducem pavajul la același nivel|Datoria noastră este să aducem pavajul la același nivel
dcs_rnd2_429|Ne vedem atât de rar|Ne vedem atât de rar
dcs_rnd2_430|Palestinienii cer un îngheț complet al construcțiilor, amintește Agerpres|Palestinienii cer un îngheț complet al construcțiilor, amintește Agerpres
dcs_rnd2_431|Revenirea președintelui ales al Hondurasului, Manuel Zelaya provoacă reacții internaționale|Revenirea președintelui ales al Hondurasului, Manuel Zelaya provoacă reacții internaționale
dcs_rnd2_432|Așa cum este sindicatul fotbaliștilor, să fie și unul al antrenorilor|Așa cum este sindicatul fotbaliștilor, să fie și unul al antrenorilor
